mode,function,kernel,pipeline,scna_width,qo_len,samples,total_median_us,total_p50_us,total_p95_us,total_ci_low_us,total_ci_high_us,host_median_us,host_p95_us,host_ci_low_us,host_ci_high_us,safe_sm_median_us,scna_exp_median_us,q_load_median_us,k_load_median_us,v_load_median_us,qk_dot_median_us,core_acc_median_us,o_scale_median_us,o_store_median_us,kv_dma_issue_median_us,kv_dma_wait_median_us,kv_transform_median_us,kv_load_median_us,host_control_median_us,scna_share_pct,baseline_speedup,pipeline_speedup,pipeline_speedup_ci_low,pipeline_speedup_ci_high,host_pipeline_speedup,host_pipeline_speedup_ci_low,host_pipeline_speedup_ci_high
scna-fp16,exp2,tree,on,32,16,20,1311.0,1311.0,1319.15,1250.5,1315.0,1543.5,1631.2,1519.0,1618.0,962.0,783.0,7.0,157.0,152.0,10.5,9.0,2.0,10.0,10.0,100.5,192.0,309.0,232.5,59.725400457665906,0.959954233409611,1.3138825324180015,1.2929984779299848,1.3773279352226722,1.2977000323939099,1.2393188854489163,1.3262504086302713
scna-fp16,exp2,tree,on,32,32,20,2326.0,2326.0,2332.25,2284.5,2329.0,2654.5,2677.35,2553.5,2663.0,1911.5,1550.5,14.0,168.5,164.5,23.0,21.0,4.0,20.0,9.0,124.0,192.0,333.0,328.5,66.65950128976785,0.8568357695614789,1.1450988822012038,1.1429798196650922,1.166010498687664,1.1429647767941231,1.1207516910924975,1.1889563344429215
scna-int8,exp,direct,off,8,4,20,735.0,735.0,743.0,728.0,738.5,992.5,1009.55,991.0,998.0124999999999,205.0,162.0,2.0,267.0,247.5,4.0,2.0,2.0,2.0,0.0,0.0,0.0,514.5,257.5,22.040816326530614,1.2068027210884353,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp,direct,off,8,8,20,1137.5,1137.5,1156.15,1123.5,1148.5,1440.0,1495.65,1407.0,1464.0,419.5,321.5,4.0,366.5,326.0,8.0,6.0,2.0,6.0,0.0,0.0,0.0,692.5,302.5,28.263736263736263,0.9323076923076923,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp,direct,off,8,16,20,1454.5,1454.5,1491.05,1432.5,1466.0,1744.0,1862.5,1716.0,1767.5,810.5,630.0,8.0,318.5,279.5,12.0,10.0,2.0,10.0,0.0,0.0,0.0,598.0,289.5,43.313853557923686,0.8652457889309041,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp,direct,off,8,32,20,2262.5,2262.5,2278.1,2258.5,2268.5,2617.5,2661.15,2582.0,2636.0,1615.0,1251.5,16.0,291.0,269.5,24.0,22.5,4.0,22.0,0.0,0.0,0.0,560.5,355.0,55.31491712707182,0.8808839779005525,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp,direct,off,16,4,20,769.0,769.0,795.1,755.5,785.5,1034.5,1110.4,1016.0,1077.5,250.0,208.0,2.0,266.0,240.0,4.0,3.5,2.0,2.0,0.0,0.0,0.0,506.0,265.5,27.048114434330298,1.153446033810143,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp,direct,off,16,8,20,1022.5,1022.5,1048.3,1020.0,1035.0,1294.5,1369.1,1283.5,1320.5,489.0,406.0,4.0,269.0,238.0,8.0,8.0,2.0,6.0,0.0,0.0,0.0,507.0,272.0,39.706601466992666,1.0371638141809292,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp,direct,off,16,16,20,1750.5,1750.5,1758.4,1749.5,1755.0,2069.0,2137.85,2024.5,2117.0,998.5,808.0,8.0,380.0,325.5,12.0,12.0,2.0,10.0,0.0,0.0,0.0,705.5,318.5,46.15824050271351,0.7189374464438731,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp,direct,off,16,32,20,2719.0,2719.0,2729.1,2712.0,2722.5,3044.5,3087.05,3034.0,3056.5,1970.5,1600.0,16.0,336.0,324.0,24.0,23.0,3.0,22.0,0.0,0.0,0.0,660.0,325.5,58.845163663111435,0.7329900698786318,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp,direct,off,32,4,20,868.0,868.0,875.2,866.0,870.5,1203.0,1208.0,1132.5,1205.0,341.0,297.0,2.0,267.5,244.0,4.0,5.0,1.5,2.0,0.0,0.0,0.0,511.5,335.0,34.21658986175115,1.021889400921659,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp,direct,off,32,8,20,1361.5,1361.5,1400.2,1342.5,1388.0,1655.0,1744.2,1621.0,1714.0,673.0,584.0,4.0,342.0,322.0,9.0,9.0,2.0,6.0,0.0,0.0,0.0,664.0,293.5,42.89386705839148,0.7789203084832905,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp,direct,off,32,16,20,2096.5,2096.5,2111.05,2090.5,2101.0,2395.0,2419.15,2383.0,2405.0,1337.5,1153.0,9.0,384.0,329.0,12.0,13.0,3.0,10.0,0.0,0.0,0.0,713.0,298.5,54.996422609110425,0.6002861912711662,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp,direct,off,32,32,20,3288.0,3288.0,3303.15,3285.0,3295.0,3613.0,3688.0,3593.5,3639.0,2651.5,2285.0,16.0,284.5,264.0,25.0,25.0,3.0,22.0,0.0,0.0,0.0,548.5,325.0,69.49513381995133,0.6061435523114356,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp,direct,on,8,4,20,463.0,463.0,466.1,462.0,464.5,663.5,750.0500000000001,653.0,741.5,200.0,158.0,1.0,136.0,119.0,3.0,0.0,0.0,4.0,9.0,47.0,192.0,255.0,200.5,34.125269978401725,1.9157667386609072,1.5874730021598271,1.5711206896551724,1.5952380952380953,1.4958553127354937,1.3382749326145553,1.5230061349693251
scna-int8,exp,direct,on,8,8,20,686.5,686.5,772.4,684.5,766.5,955.5,1069.05,953.0,964.5,398.0,315.0,4.0,134.5,136.0,6.5,4.0,2.0,4.0,9.0,61.5,192.0,270.5,269.0,45.884923525127455,1.5447924253459577,1.6569555717407138,1.4839940794056188,1.6744525547445255,1.5070643642072215,1.4636696288552014,1.5335429769392033
scna-int8,exp,direct,on,8,16,20,1045.0,1045.0,1052.2,1040.0,1048.0,1324.5,1375.3,1278.5,1361.0,776.5,625.0,8.0,132.0,97.0,11.0,9.0,2.0,10.0,9.0,18.0,193.0,229.0,279.5,59.80861244019139,1.2043062200956938,1.391866028708134,1.3708133971291867,1.4025787965616046,1.3167232918082294,1.2747519781619714,1.3656832298136645
scna-int8,exp,direct,on,8,32,20,1882.0,1882.0,1894.2,1880.0,1885.5,2198.0,2251.05,2184.0,2241.5,1569.5,1247.5,16.0,131.0,97.0,23.0,21.0,4.0,20.0,9.0,18.0,193.0,228.0,316.0,66.28586609989372,1.058979808714134,1.2021785334750266,1.1989389920424403,1.2056323060573857,1.1908553230209282,1.1613179945390848,1.2051305542830966
scna-int8,exp,direct,on,16,4,20,482.5,482.5,517.05,480.0,484.0,668.5,767.95,664.5,701.0,240.5,201.0,2.0,130.0,103.5,3.0,0.0,1.0,2.0,8.0,24.5,193.5,233.5,186.0,41.6580310880829,1.8383419689119171,1.5937823834196891,1.5643120237450925,1.6322916666666667,1.5474943904263276,1.4817660809778457,1.6142322097378277
scna-int8,exp,direct,on,16,8,20,726.0,726.0,729.0,725.0,727.0,972.5,987.0,961.4875,983.5,476.0,398.0,4.0,131.0,97.5,7.0,4.0,3.0,5.0,9.0,19.0,193.0,228.5,246.5,54.82093663911846,1.4607438016528926,1.4084022038567494,1.403713892709766,1.4256198347107438,1.3311053984575836,1.3074186991869918,1.3635956340956341
scna-int8,exp,direct,on,16,16,20,1217.0,1217.0,1221.05,1215.0,1218.5,1531.0,1540.15,1493.5,1535.0,948.5,798.0,8.0,131.0,97.0,11.0,10.0,2.0,10.0,9.0,18.0,193.0,228.0,314.0,65.57107641741989,1.0341002465078062,1.4383730484798685,1.436192039392696,1.442845394736842,1.3514043109079033,1.3215916503587737,1.3996694214876033
scna-int8,exp,direct,on,16,32,20,2205.5,2205.5,2215.05,2204.0,2208.0,2523.0,2551.05,2505.0,2533.0,1893.0,1591.0,14.0,131.0,97.0,24.0,22.0,4.0,21.0,9.0,18.5,193.0,228.0,317.5,72.13783722511901,0.9036499659941056,1.2328270233507141,1.2292705029451745,1.2347471081877976,1.2066983749504558,1.2001185302252075,1.217314165098292
scna-int8,exp,direct,on,32,4,20,562.0,562.0,564.2,561.0,562.0,771.0,792.45,769.0,776.0,327.5,287.0,2.0,130.0,96.0,3.0,0.0,1.0,2.0,9.0,17.0,193.0,226.0,209.0,51.06761565836299,1.5782918149466192,1.5444839857651245,1.5409252669039146,1.5494211932324131,1.5603112840466926,1.4679196370706415,1.5649350649350648
scna-int8,exp,direct,on,32,8,20,905.5,905.5,913.0,903.0,910.0,1154.5,1222.0,1144.5,1180.5,652.0,570.0,4.0,130.0,102.5,7.0,4.0,2.0,5.0,9.0,23.5,193.0,232.5,249.0,62.948647156267256,1.1711761457758145,1.503589177250138,1.4796703296703297,1.5328547763666482,1.433521004763967,1.3794552398753177,1.4858111954673965
scna-int8,exp,direct,on,32,16,20,1567.5,1567.5,1574.2,1564.5,1568.5,1863.0,1902.1,1859.0,1869.5,1295.0,1140.0,8.0,132.0,97.0,12.0,10.0,3.0,10.0,9.0,19.0,193.0,229.0,295.5,72.72727272727273,0.8028708133971292,1.3374800637958533,1.3336490637454268,1.3418582902297238,1.2855609232420826,1.2773328859060404,1.2914653784219001
scna-int8,exp,direct,on,32,32,20,2899.5,2899.5,2914.15,2892.0,2908.0,3195.0,3256.75,3179.5,3230.0,2583.0,2276.0,14.0,131.0,98.0,24.0,22.0,4.0,21.0,9.0,20.0,193.0,229.0,295.5,78.49629246421797,0.6873598896361441,1.133988618727367,1.1305918788713007,1.1374374892222796,1.130829420970266,1.1177020084072864,1.1425652310594152
scna-int8,exp,tree,off,8,4,20,952.5,952.5,959.3,949.0,955.5,1223.5,1292.1,1203.975,1236.5,247.0,189.0,2.0,366.0,324.0,4.0,3.0,2.0,4.0,0.0,0.0,0.0,690.0,271.0,19.84251968503937,0.9312335958005249,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp,tree,off,8,8,20,1110.5,1110.5,1121.4,1062.0,1114.0,1379.5,1467.3,1342.0,1456.0,444.0,353.0,4.0,332.5,305.5,8.0,7.0,2.0,6.0,0.0,0.0,0.0,638.0,269.0,31.78748311571364,0.954975236380009,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp,tree,off,8,16,20,1476.0,1476.0,1488.1,1474.0,1478.5,1751.5,1802.55,1743.0,1773.5,878.0,693.0,8.0,287.0,268.5,12.0,10.0,3.0,10.0,0.0,0.0,0.0,555.5,275.5,46.951219512195124,0.8526422764227642,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp,tree,off,8,32,20,2386.5,2386.5,2395.05,2382.5,2388.5,2770.5,2792.15,2762.0,2777.0,1739.5,1378.0,16.0,289.5,269.5,24.0,22.0,3.0,22.0,0.0,0.0,0.0,559.0,384.0,57.74146239262518,0.8351141839513933,1.0,1.0,1.0,1.0,1.0,1.0
scna-int8,exp,tree,off,16,4,20,782.0,782.0,793.0,772.5,788.0,1073.0,1096.2,1035.5,1075.5,243.5,199.0,2.0,273.0,253.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,526.0,291.0,25.44757033248082,1.1342710997442456,1.0,1.0,1.0,1.0,1.0,1.0
