candidate_max_abs,candidate_mode,candidate_nonfinite,candidate_rms,elements,head_dim,iters,kv_len,kv_size,mask_mode,mask_size,max_abs_error,max_rel_error,mode,mode_flags,n_heads,n_kv_heads,print_events,profile_max_events,profile_max_records,profile_size,q_size,qo_len,reference_max_abs,reference_mode,reference_nonfinite,reference_rms,relative_l2,ret,rmse,scna_function,scna_kernel,scna_width,warmup
0.00361633,scna-int8,0,0.00148701,6144,128,1,4093,2095616,causal,32768,0.00230026,687.254,scna-int8,1128,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.00071093,1.17231,0,0.000833431,exp2,tree,32,1
0.00352478,scna-int8,0,0.00144546,6144,128,1,4093,2095616,full,32768,0.00225214,839.957,scna-int8,1128,12,2,0,3224,10,233856,24576,4,0.00148103,host-fp32,0,0.000691119,1.17645,0,0.000813069,exp2,tree,32,1
0.0018158,scna-int8,0,0.000691903,3072,64,1,4096,1048576,full,32768,0.00097031,203.655,scna-int8,1128,12,2,0,3224,10,233856,12288,4,0.000907659,host-fp32,0,0.000342623,1.0415,0,0.000356843,exp2,tree,32,1
0.00379562,scna-int8,0,0.00152402,6144,128,1,4093,2095616,padding,32768,0.00239311,467.442,scna-int8,1128,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.000729387,1.16634,0,0.000850713,exp2,tree,32,1
0.00312805,scna-int8,0,0.00140624,6144,128,1,4093,2095616,causal,32768,0.00177001,357.875,scna-int8,1112,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.00071093,1.00893,0,0.000717279,exp2,tree,8,1
0.00299835,scna-int8,0,0.00136571,6144,128,1,4093,2095616,full,32768,0.00172572,358.351,scna-int8,1112,12,2,0,3224,10,233856,24576,4,0.00148103,host-fp32,0,0.000691119,1.0088,0,0.000697202,exp2,tree,8,1
0.0016079,scna-int8,0,0.000660066,3072,64,1,4096,1048576,full,32768,0.000803303,115.706,scna-int8,1112,12,2,0,3224,10,233856,12288,4,0.000907659,host-fp32,0,0.000342623,0.942777,0,0.000323018,exp2,tree,8,1
0.00325394,scna-int8,0,0.00144338,6144,128,1,4093,2095616,padding,32768,0.00185142,271.282,scna-int8,1112,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.000729387,1.00829,0,0.000735433,exp2,tree,8,1
0.00286102,scna-fp16,0,0.00138424,6144,128,1,4093,2095616,causal,32768,0.00135395,77.5427,scna-fp16,196,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.00071093,0.948825,0,0.000674548,exp,direct,16,1
0.0027504,scna-fp16,0,0.00134523,6144,128,1,4093,2095616,full,32768,0.00128258,85.5845,scna-fp16,196,12,2,0,3224,10,233856,24576,4,0.00148103,host-fp32,0,0.000691119,0.948272,0,0.000655369,exp,direct,16,1
0.00165176,scna-fp16,0,0.000660062,3072,64,1,4096,1048576,full,32768,0.000744105,52.2209,scna-fp16,196,12,2,0,3224,10,233856,12288,4,0.000907659,host-fp32,0,0.000342623,0.933205,0,0.000319738,exp,direct,16,1
0.00286102,scna-fp16,0,0.00142112,6144,128,1,4093,2095616,padding,32768,0.00136287,89.8669,scna-fp16,196,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.000729387,0.950015,0,0.000692929,exp,direct,16,1
0.00294876,scna-fp16,0,0.00139214,6144,128,1,4093,2095616,causal,32768,0.00144586,47.5937,scna-fp16,228,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.00071093,0.958674,0,0.00068155,exp,direct,32,1
0.00286484,scna-fp16,0,0.0013522,6144,128,1,4093,2095616,full,32768,0.00140465,48.3924,scna-fp16,228,12,2,0,3224,10,233856,24576,4,0.00148103,host-fp32,0,0.000691119,0.957045,0,0.000661432,exp,direct,32,1
0.00173569,scna-fp16,0,0.000672686,3072,64,1,4096,1048576,full,32768,0.000861801,80.8319,scna-fp16,228,12,2,0,3224,10,233856,12288,4,0.000907659,host-fp32,0,0.000342623,0.967791,0,0.000331588,exp,direct,32,1
0.0029335,scna-fp16,0,0.00142998,6144,128,1,4093,2095616,padding,32768,0.00145626,48.4473,scna-fp16,228,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.000729387,0.960983,0,0.000700928,exp,direct,32,1
0.00280762,scna-fp16,0,0.00138437,6144,128,1,4093,2095616,causal,32768,0.00135846,120.76,scna-fp16,212,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.00071093,0.952376,0,0.000677073,exp,direct,8,1
0.00267029,scna-fp16,0,0.00134437,6144,128,1,4093,2095616,full,32768,0.00128932,139.467,scna-fp16,212,12,2,0,3224,10,233856,24576,4,0.00148103,host-fp32,0,0.000691119,0.950564,0,0.000656953,exp,direct,8,1
0.00155067,scna-fp16,0,0.000654956,3072,64,1,4096,1048576,full,32768,0.000694236,127.318,scna-fp16,212,12,2,0,3224,10,233856,12288,4,0.000907659,host-fp32,0,0.000342623,0.927886,0,0.000317915,exp,direct,8,1
0.00280762,scna-fp16,0,0.00142085,6144,128,1,4093,2095616,padding,32768,0.00137332,153.405,scna-fp16,212,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.000729387,0.952824,0,0.000694978,exp,direct,8,1
