core_o0_bits,head_dim,inv_l0_bits,iters,kv_head,kv_len,kv_size,l0_bits,mask_mode,mask_size,mode,mode_flags,n_heads,n_kv_heads,p0_first_bits,p0_last_bits,print_events,profile_max_events,profile_max_records,profile_size,q_size,qo_len,rowsum0_bits,scaled_o0_bits,scna_function,scna_kernel,scna_width,sum0_first_bits,sum0_last_bits,warmup
0x39c9,64,0x109c,1,0,4096,1048576,0x66ec,full,32768,scna-int8,232,12,2,0x3a4a,0x3a4a,0,3224,10,233856,12288,4,0x66ec,0xeab,exp,direct,32,0x42da0401,0x44dd7d3d,1
0x384c,128,0x104c,1,0,4093,2095616,0x676e,padding,32768,scna-int8,232,12,2,0x3b12,0x0,0,3224,10,233856,24576,4,0x676e,0xc9e,exp,direct,32,0x42ea2b81,0x44edb6c6,1
0x4097,128,0x1010,1,0,4093,2095616,0x67d5,causal,32768,scna-int8,216,12,2,0x3b93,0x0,0,3224,10,233856,24576,4,0x67d5,0x14a9,exp,direct,8,0x42f65781,0x44fa95f4,1
0x40c1,128,0x1010,1,0,4093,2095616,0x67d8,full,32768,scna-int8,216,12,2,0x3b93,0x0,0,3224,10,233856,24576,4,0x67d8,0x14d4,exp,direct,8,0x42f65781,0x44faf3fc,1
0x3cc3,64,0x1034,1,0,4096,1048576,0x678e,full,32768,scna-int8,216,12,2,0x3b2e,0x3b2e,0,3224,10,233856,12288,4,0x678e,0x1101,exp,direct,8,0x42ee2e01,0x44f1bf74,1
0x4097,128,0x1010,1,0,4093,2095616,0x67d5,padding,32768,scna-int8,216,12,2,0x3b93,0x0,0,3224,10,233856,24576,4,0x67d5,0x14a9,exp,direct,8,0x42f65781,0x44fa95f4,1
0x3d1f,128,0x1044,1,0,4093,2095616,0x6774,causal,32768,scna-int8,1224,12,2,0x3b51,0x0,0,3224,10,233856,24576,4,0x6774,0x1176,exp,tree,16,0x42f06c01,0x44ee7a91,1
0x3d7c,128,0x1044,1,0,4093,2095616,0x6777,full,32768,scna-int8,1224,12,2,0x3b51,0x0,0,3224,10,233856,24576,4,0x6777,0x11d9,exp,tree,16,0x42f06c01,0x44eed751,1
0x3b6d,64,0x1070,1,0,4096,1048576,0x6731,full,32768,scna-int8,1224,12,2,0x3ab5,0x3ab5,0,3224,10,233856,12288,4,0x6731,0x101e,exp,tree,16,0x42e3ac81,0x44e624b2,1
0x3d1f,128,0x1044,1,0,4093,2095616,0x6774,padding,32768,scna-int8,1224,12,2,0x3b51,0x0,0,3224,10,233856,24576,4,0x6774,0x1176,exp,tree,16,0x42f06c01,0x44ee7a91,1
0x384c,128,0x104c,1,0,4093,2095616,0x676e,causal,32768,scna-int8,1256,12,2,0x3b12,0x0,0,3224,10,233856,24576,4,0x676e,0xc9e,exp,tree,32,0x42ea2b81,0x44edb6c6,1
0x3911,128,0x1044,1,0,4093,2095616,0x6771,full,32768,scna-int8,1256,12,2,0x3b12,0x0,0,3224,10,233856,24576,4,0x6771,0xd67,exp,tree,32,0x42ea2b81,0x44ee11ce,1
0x39c9,64,0x109c,1,0,4096,1048576,0x66ec,full,32768,scna-int8,1256,12,2,0x3a4a,0x3a4a,0,3224,10,233856,12288,4,0x66ec,0xeab,exp,tree,32,0x42da0401,0x44dd7d3d,1
0x384c,128,0x104c,1,0,4093,2095616,0x676e,padding,32768,scna-int8,1256,12,2,0x3b12,0x0,0,3224,10,233856,24576,4,0x676e,0xc9e,exp,tree,32,0x42ea2b81,0x44edb6c6,1
0x4097,128,0x1010,1,0,4093,2095616,0x67d5,causal,32768,scna-int8,1240,12,2,0x3b93,0x0,0,3224,10,233856,24576,4,0x67d5,0x14a9,exp,tree,8,0x42f65781,0x44fa95f4,1
0x40c1,128,0x1010,1,0,4093,2095616,0x67d8,full,32768,scna-int8,1240,12,2,0x3b93,0x0,0,3224,10,233856,24576,4,0x67d8,0x14d4,exp,tree,8,0x42f65781,0x44faf3fc,1
0x3cc3,64,0x1034,1,0,4096,1048576,0x678e,full,32768,scna-int8,1240,12,2,0x3b2e,0x3b2e,0,3224,10,233856,12288,4,0x678e,0x1101,exp,tree,8,0x42ee2e01,0x44f1bf74,1
0x4097,128,0x1010,1,0,4093,2095616,0x67d5,padding,32768,scna-int8,1240,12,2,0x3b93,0x0,0,3224,10,233856,24576,4,0x67d5,0x14a9,exp,tree,8,0x42f65781,0x44fa95f4,1
